,run_number,event_number,cs2_bottom,cs2_bottom_new,cs2_new,cs2_top,cs2_top_new,s2_bottom,s2_top,x_observed,y_observed,z_observed,s2_over_tdiff,alt_s1_interaction_z,alt_s2_interaction_s2_range_50p_area,alt_s2_interaction_s2_range_80p_area,alt_s2_interaction_x,alt_s2_interaction_y,alt_s2_interaction_z,r_pos_correction,s1_largest_hit_area,s1_n_contributing_channels,s1_pattern_fit,s1_range_80p_area,s1_rise_time,s1_tight_coincidence,s2_n_contributing_channels,s2_pattern_fit,s2_range_80p_area,s2_rise_time,sum_s1s_before_main_s2,x_nn,y_nn,z_pos_correction,nearest_1e5pe_event,nearest_1e6pe_event,nearest_3e5pe_event,nearest_busy,nearest_busy_off,nearest_busy_on,nearest_event,nearest_hev,nearest_hev_off,nearest_hev_on,nearest_muon_veto_trigger,nearest_s2_area,next_1e5pe_event,next_1e6pe_event,next_3e5pe_event,next_busy,next_busy_off,next_busy_on,next_event,next_hev,next_hev_off,next_hev_on,next_muon_veto_trigger,next_s2_area,previous_1e5pe_event,previous_1e6pe_event,previous_3e5pe_event,previous_busy,previous_busy_off,previous_busy_on,previous_event,previous_hev,previous_hev_off,previous_hev_on,previous_muon_veto_trigger,previous_s2_area,area_before_main_s2,n_peaks,n_pulses,n_true_peaks,total_peak_area,cs1,cs2,drift_time,largest_coincidence,largest_other_s1,largest_other_s2,largest_unknown,largest_veto,s1,s1_area_fraction_top,s1_range_50p_area,s2,s2_area_fraction_top,s2_range_50p_area,x,y,z,event_duration,event_time,source,name,pax_version,lax_version,CutLowEnergyAmBe,distance_to_source,CutAmBeFiducial,CutS1LowEnergyRange,CutS2Threshold,CutInteractionPeaksBiggest,CutS2AreaFractionTop,CutS2SingleScatterSimple,CutDAQVeto,CutEndOfRunCheck,CutBusyTypeCheck,CutBusyCheck,CutHEVCheck,CutS1SingleScatter,pvalue_s1_area_fraction_top,CutS1AreaFractionTop,CutS2PatternLikelihood,CutS2Tails,CutS1PatternLikelihood,CutS2Width,CutS2WidthHigh,CutS2WidthLow,CutS1MaxPMT,CutSingleElectronS2s,CutLowEnergyRn220,r,CutFiducialCylinder1T,CutLowEnergyBackground,CutPreS2Junk
68,6377,19617,2688.926522458292,2658.6270836874723,6735.405508249129,4123.240035900498,4076.7784245616563,1447.128722569847,2219.048767664528,-7.854023387123171,25.208105137189335,-43.17839950323105,0.001426490896163354,,,,,,,1.165088415145874,2.8925583362579346,29.0,186.93441772460938,175.00467211717788,41.701160273817784,24.0,205.0,321.85675048828125,2398.5674309978317,1083.2218901723381,47.15793991088867,-9.139971733093262,25.404647827148438,-0.17915207147598267,87035465,428379755,87035465,-1227692000,-1227692000,-1246634440,87035465,368395560000000000,368395560000000000,368395560000000000,-2764914240,411359.71875,87035465,428379755,87035465,8341562200,8356116350,8341562200,87035465,368395560000000000,368395560000000000,368395560000000000,2846491410,411359.71875,152584570,885077440,334443040,1227692000,1227692000,1246634440,152584570,368395560000000000,368395560000000000,368395560000000000,2764914240,217660.5,61.09830057621002,38,553,9,4031.9684761166573,50.24128235490616,6812.166558358789,301550.0,0.0,0.0,63.4782829284668,0.0,0.0,47.15793991088867,0.14971180260181427,88.21930486848775,3666.177490234375,0.6052758693695068,1115.5072401738303,-8.200594902038574,26.320453643798828,-43.35755157470703,2000000,1484728082936745160,none,170118_0728,6.4.2,0.11.1,True,66.81541907964468,True,True,True,True,True,True,True,True,True,True,True,True,0.3726577135226117,True,True,True,True,True,True,True,True,True,True,27.568388359907875,True,True,True
447,6371,14009,2447.145137435059,2600.0075228114233,6387.376360486722,3564.697853169403,3787.3688376752984,981.9620851324289,1430.400707836321,-9.347926610557662,31.598197707254226,-63.71711852028966,0.004732752582757671,,,,,,,2.3571479320526123,2.989753246307373,36.0,184.64480590820312,148.34831668080955,43.890196670533044,33.0,194.0,286.9065856933594,3061.5968586287627,1519.4357459622236,58.5314826965332,-11.034093856811523,32.675933837890625,-0.0576922707259655,103384805,103384805,103384805,-2740468320,-2740468320,-2741468310,-100775610,368395560000000000,368395560000000000,368395560000000000,487263280,778229.25,103384805,103384805,103384805,3999774030,4032471150,3999774030,103384805,368395560000000000,368395560000000000,368395560000000000,487263280,778229.25,145281245,145281245,145281245,2740468320,2740468320,2741468310,100775610,368395560000000000,368395560000000000,368395560000000000,674317030,254.35263061523438,101.94174221158028,47,574,12,2760.387059301138,53.83023745713831,6011.842990604462,444180.0,0.0,0.0,38.221580505371094,2.105203628540039,0.0,58.5314826965332,0.10548266768455505,71.7686129562212,2412.36279296875,0.59294593334198,1300.2529509761184,-10.016611099243164,33.8585090637207,-63.774810791015625,2000000,1484705448682782470,none,170118_0127,6.4.2,0.11.1,True,68.12272086031915,True,True,True,True,True,True,True,True,True,True,True,True,0.36451231473561385,True,True,True,True,True,True,True,True,True,True,35.30908004935187,True,True,True
2040,6335,6606,1519.3705936190925,1337.2878554070865,3773.875813525159,2768.349445007134,2436.5879581180725,595.0526578797071,1084.2079622374804,7.09972772436209,-6.126250279028131,-65.25216197036207,0.0019895214619452257,,,,,,,0.625058650970459,3.104236364364624,24.0,159.0029754638672,131.32537694861747,30.93478182630234,20.0,188.0,285.1076965332031,2802.2374057940856,1413.628702917667,37.35139083862305,6.92076301574707,-7.328387260437012,-0.015454301610589027,-283558640,-283558640,-283558640,-979634530,-979634530,-980634520,-283558640,368395560000000000,368395560000000000,368395560000000000,-4226291980,749410.9375,360741730,895627660,360741730,7654845210,7666368380,7654845210,360741730,368395560000000000,368395560000000000,368395560000000000,6123052020,749410.9375,283558640,283558640,283558640,979634530,979634530,980634520,283558640,368395560000000000,368395560000000000,368395560000000000,4226291980,564146.0,51.70581662654877,36,429,6,1845.3241797685623,32.636905419021105,4287.720038626227,454840.0,0.0,0.0,28.76013946533203,0.0,0.0,37.35139083862305,0.1720997393131256,72.53674700003742,1679.2606201171875,0.6456460356712341,1296.3084852139482,7.572962284088135,-6.534597396850586,-65.26761627197266,2000000,1484609370360686380,none,170116_2308,6.4.2,0.11.1,True,71.42083751189696,True,True,True,True,True,True,True,True,True,True,True,True,0.6409237672185187,True,True,True,True,True,True,True,True,True,True,10.002535723262769,True,True,True
2746,6325,12987,2583.0911172048814,2575.555795859758,6489.5968141521025,3925.4923550788503,3914.0410182923442,1968.795602839964,2991.954885441286,-13.59016394549279,20.475663469562146,-18.711359307169914,0.010678487897508917,,,,,,,0.38085901737213135,2.6488473415374756,15.0,101.33805084228516,119.33727103183767,40.23315584708398,12.0,213.0,362.6675720214844,1607.3806487931647,771.1417531579093,19.059906005859375,-13.607996940612793,20.740833282470703,-0.229016974568367,12849880,464236480,12849880,-683009440,-683009440,-693659310,12849880,368395560000000000,368395560000000000,368395560000000000,-2050768180,683416.25,12849880,464236480,12849880,3911556150,3927193940,3911556150,12849880,368395560000000000,368395560000000000,368395560000000000,6176862290,683416.25,33732105,709157770,33732105,683009440,683009440,693659310,33732105,368395560000000000,368395560000000000,368395560000000000,2050768180,360207.875,52.797632843256,65,503,9,5258.074515253305,24.648014002832497,6508.583472283732,131640.0,0.0,0.0,43.14461135864258,0.0,0.0,19.059906005859375,0.23792636394500732,67.45984273723997,4960.75048828125,0.6031254529953003,800.8354585635539,-13.800779342651367,20.792987823486328,-18.94037628173828,2000000,1484574395622995630,none,170116_1306,6.4.2,0.11.1,True,79.73631540069657,True,True,True,True,True,True,True,True,True,True,True,True,0.9999999999999992,True,True,True,True,True,True,True,True,True,True,24.956158620512962,True,True,True
3854,6298,18524,2386.210347618078,2418.265208610347,6401.330028958705,3930.2680515386896,3983.064820348358,1081.0801159896073,1780.6203234635177,-3.6157540401965202,-33.76415043179988,-54.90287855267525,0.012909602566885456,,,,,,,2.108781099319458,6.637892723083496,36.0,194.49159240722656,149.3502750468998,48.96881484602321,31.0,196.0,386.2980651855469,2660.135235811548,1173.8788240453273,55.89276885986328,-4.619321823120117,-34.0251579284668,-0.12084886431694031,-93082455,-93082455,-93082455,-6347618470,-6347618470,-6350284430,-93082455,368395560000000000,368395560000000000,368395560000000000,-540373610,255872.265625,151712095,212389580,212389580,13475299250,13484667660,13475299250,151712095,368395560000000000,368395560000000000,368395560000000000,763122370,255872.265625,93082455,93082455,93082455,6347618470,6347618470,6350284430,93082455,368395560000000000,368395560000000000,368395560000000000,540373610,1201657.5,77.12822562456131,55,448,9,3023.0215581953526,54.56975604735362,6316.478399156767,382970.0,0.0,0.0,25.216718673706055,4.592005252838135,0.0,55.89276885986328,0.16827785968780518,74.94028317908523,2861.700439453125,0.6222245693206787,1343.424810931077,-3.840296506881714,-35.86094284057617,-55.02372741699219,2000000,1484495749912512420,none,170115_1458,6.4.2,0.11.1,False,99.67875391547368,False,True,True,True,True,True,True,True,True,True,True,True,0.9999999999999986,True,True,True,True,True,True,True,True,True,True,36.065982569116834,True,True,True
4161,6293,2628,1962.7270492962678,1928.4089164687466,5122.059145048123,3250.4847058590854,3193.6502285793767,878.9370589869213,1455.6132339818287,32.035303780193765,9.313892964257384,-55.68623922765255,0.002582946924113207,,,,,,,2.096501350402832,2.572836399078369,12.0,105.54939270019531,151.2419740793848,45.747752608675974,11.0,204.0,229.9910888671875,2300.81351423941,1101.601139474512,20.01276397705078,31.317651748657227,10.478006362915039,-0.11256219446659088,16046665,-429389340,-409610995,-2821410540,-2821410540,-2841956420,5729505,368395560000000000,368395560000000000,368395560000000000,2776489030,38020.18359375,16046665,1521195405,434216265,3181371960,3204583870,3181371960,5729505,368395560000000000,368395560000000000,368395560000000000,2776489030,38020.18359375,409610995,429389340,409610995,2821410540,2821410540,2841956420,124341650,368395560000000000,368395560000000000,368395560000000000,4894482140,48888.73828125,24.91947293281555,18,348,4,2431.5131316184998,19.476503480298106,5213.211755155353,388410.0,0.0,0.0,32.544349670410156,0.0,0.0,20.01276397705078,0.059641335159540176,94.3968249745034,2334.55029296875,0.6235090494155884,1230.149220882869,34.04844665527344,9.899190902709961,-55.79880142211914,2000000,1484474768819937800,none,170115_0958,6.4.2,0.11.1,True,40.720427776869215,True,True,True,True,True,True,True,True,True,True,True,True,0.2332991138375864,True,True,True,True,True,True,True,True,True,True,35.45829522361864,True,True,True
4826,6283,11740,2409.570281846536,2300.803806192253,6178.602120883292,4061.1144474494795,3877.7983146910387,785.4919617063715,1323.8762023561285,14.811417525849885,23.40107589974922,-77.71535816788673,0.0021150145876970704,,,,,,,2.6360254287719727,2.490734100341797,17.0,144.5293731689453,159.83331265563106,53.5471564779748,12.0,185.0,312.32135009765625,3240.0033103951473,1370.808167394667,28.271732330322266,14.156903266906738,24.412899017333984,0.10265675187110901,149228600,-1054316360,149228600,1370055070,1380263680,1370055070,149228600,368395560000000000,368395560000000000,368395560000000000,-379845230,630035.0,149228600,1368387845,149228600,1370055070,1380263680,1370055070,149228600,368395560000000000,368395560000000000,368395560000000000,1231576450,630035.0,262423190,1054316360,262423190,18662613960,18662613960,18681643830,258529620,368395560000000000,368395560000000000,368395560000000000,379845230,35.22093200683594,38.068133145570755,50,543,11,2364.8129243552685,23.30437522812531,6470.684729296016,541390.0,0.0,0.0,38.17405319213867,2.8554391860961914,0.0,28.271732330322266,0.19648799300193787,78.97432570817087,2109.3681640625,0.6276174187660217,1698.1023093849171,16.22119903564453,25.62843894958496,-77.61270141601562,2000000,1484440292804770390,none,170114_2355,6.4.2,0.11.1,True,51.667566672262836,True,True,True,True,True,True,True,True,True,True,True,True,0.1270349206520163,True,True,True,True,True,True,True,True,True,True,30.330581615699337,True,True,True
4849,6283,17217,2353.5308886080384,2339.809582251497,6356.105316264404,4039.848430182239,4016.295734012907,1176.3004550818441,2019.1260585900309,18.565905883203367,29.30158361805524,-47.99231876432896,0.0036525192512288484,,,,,,,2.0087697505950928,3.2071597576141357,33.0,183.8451690673828,157.59582784854442,37.239092211244824,28.0,202.0,372.5238342285156,2513.9432731186553,1106.3041618230661,48.64966583251953,16.99750328063965,29.144882202148438,-0.15385662019252777,121928815,-517238410,121928815,-965888510,-965888510,-976939930,121928815,368395560000000000,368395560000000000,368395560000000000,1079187800,425367.65625,121928815,1028418520,121928815,5285696060,5294156720,5285696060,121928815,368395560000000000,368395560000000000,368395560000000000,1079187800,425367.65625,146562770,517238410,517238410,965888510,965888510,976939930,146562770,368395560000000000,368395560000000000,368395560000000000,14222735290,111572.6171875,62.29573646187782,44,530,8,3480.4735616743565,50.648872548991676,6393.3793187902775,334980.0,0.0,0.0,38.40473175048828,0.0,0.0,48.64966583251953,0.19104310870170593,77.03344860629531,3195.426513671875,0.631879985332489,1225.9845869023557,19.641042709350586,30.998414993286133,-48.146175384521484,2000000,1484441305380135800,none,170114_2355,6.4.2,0.11.1,True,38.5337831577716,True,True,True,True,True,True,True,True,True,True,True,True,0.9999999999999984,True,True,True,True,True,True,True,True,True,True,36.69703381482651,True,True,True
5944,6264,1646,1974.309667367702,1916.2738184622986,5489.630280650744,3681.5783528841757,3573.3564621884457,1710.9671038712258,3190.512388316274,11.595797185100238,26.28082410499976,-9.694079995155334,0.00696410156657942,,,,,,,0.18726833164691925,2.778502941131592,22.0,143.00216674804688,157.58348624171546,43.4317994312604,16.0,212.0,442.7038269042969,1149.8909276930867,567.5985116096073,31.841371536254883,11.041802406311035,26.456907272338867,-0.19866788387298584,112213760,-236945855,-236945855,-221514510,-221514510,-235501260,112213760,368395560000000000,368395560000000000,368395560000000000,688314100,202842.15625,112213760,1512271045,405852595,1513743970,1517511420,1513743970,112213760,368395560000000000,368395560000000000,368395560000000000,688314100,202842.15625,236945855,236945855,236945855,221514510,221514510,235501260,236945855,368395560000000000,368395560000000000,368395560000000000,6081549840,1650115.0,46.175745129585266,40,434,8,5147.539468169212,44.159790648076296,5655.888020251878,69020.0,0.0,0.0,44.11838150024414,0.0,0.0,31.841371536254883,0.2729421555995941,74.6718693360204,4901.4794921875,0.6509284377098083,569.4600020906528,11.671393394470215,26.45215606689453,-9.89274787902832,2000000,1484369784917528510,none,170114_0451,6.4.2,0.11.1,False,62.200404641905294,False,True,True,True,True,True,True,True,True,True,True,True,0.7076044116290676,True,True,True,True,True,True,True,True,True,True,28.91259214176114,True,True,True
6302,6259,8820,3640.3153038398445,3440.2805361861633,9426.865229358753,6334.674061333659,5986.58469317259,2072.4235833678104,3606.3161627259396,25.80045968574701,15.833458170226743,-38.8468798995018,0.001289302876131145,,,,,,,1.3276419639587402,3.0227792263031006,31.0,182.54248046875,126.34889440259323,36.25112541296719,28.0,212.0,343.4627380371094,2104.262799613036,1057.9292830205852,47.44834899902344,24.77252769470215,16.94698715209961,-0.19500547647476196,146393495,146393495,146393495,-1798358410,-1798358410,-1799358410,146393495,368395560000000000,368395560000000000,368395560000000000,-3036215640,716256.625,146393495,146393495,146393495,4693022450,4696967700,4693022450,146393495,368395560000000000,368395560000000000,368395560000000000,4208684460,716256.625,154863200,1080906900,1080906900,1798358410,1798358410,1799358410,154863200,368395560000000000,368395560000000000,368395560000000000,3036215640,131279.453125,54.372734785079956,45,518,11,6037.5040202736855,52.210685572799775,9974.989365173504,271470.0,0.0,0.0,51.221534729003906,3.183823823928833,0.0,47.44834899902344,0.22972510755062103,61.53137214443889,5678.73974609375,0.6350557208061218,1021.4029917827245,26.9320125579834,16.52787971496582,-39.04188537597656,2000000,1484353015110413410,none,170113_2349,6.4.2,0.11.1,True,41.26366808010771,True,True,True,True,True,True,True,True,True,True,True,True,0.8624422657986895,True,True,True,True,True,True,True,True,True,True,31.59911562521575,True,True,True
8377,6217,12765,2288.826370295833,2409.0883161325387,5789.749441847716,3211.8981615388793,3380.6611257151776,947.1550128435047,1329.1377117658703,-29.53525623336678,11.672967121425444,-60.767999827861786,,,,,,,,2.1313743591308594,4.203985214233398,27.0,180.74404907226562,142.114450437362,40.90897246910117,25.0,191.0,329.04296875,2648.3990575000034,976.8126583092555,43.442623138427734,-30.216812133789062,13.29194164276123,-0.08680516481399536,200566905,544227430,200566905,545716130,573458110,545716130,-186564550,368395560000000000,368395560000000000,368395560000000000,333433830,477787.78125,200566905,544227430,200566905,545716130,573458110,545716130,200566905,368395560000000000,368395560000000000,368395560000000000,333433830,477787.78125,304235750,1616030515,304235750,11382772970,11382772970,11385075700,186564550,368395560000000000,368395560000000000,368395560000000000,2409002940,95.7231216430664,49.44820645451546,26,408,5,2403.5241216123104,40.61359111353681,5500.724531834712,423700.0,0.0,0.0,22.436185836791992,0.0,0.0,43.442623138427734,0.11607517302036285,73.5594629056151,2276.292724609375,0.5839045643806458,1325.3769627504817,-31.517436981201172,12.456367492675781,-60.85480499267578,2000000,1484233421208453170,none,170112_1424,6.4.2,0.11.1,False,93.5349070732365,False,True,True,True,True,True,True,True,True,True,True,True,0.5369347546309302,True,True,True,True,True,True,True,True,True,True,33.88967283667072,True,True,True
10134,6190,12377,2096.2962359950648,2020.5864247406726,5304.908709618824,3407.3833018394184,3284.322284878151,1527.0932697669778,2482.1835857017722,-14.83721534791982,-6.771434281609355,-21.60288056731224,0.0021848713843317944,,,,,,,0.251907080411911,3.7776691913604736,11.0,101.61809539794922,135.78704780867997,45.435051360468336,9.0,209.0,375.9514465332031,1623.9714621722253,722.7356388931094,16.06418800354004,-16.31309700012207,-7.24429178237915,-0.20909109711647034,209532170,209532170,209532170,742836580,756004710,742836580,155130500,368395560000000000,368395560000000000,368395560000000000,-2100461410,32.15624237060547,209532170,209532170,209532170,742836580,756004710,742836580,155130500,368395560000000000,368395560000000000,368395560000000000,3590808070,32.15624237060547,315634725,391463775,391463775,1252146240,1252146240,1276925860,315634725,368395560000000000,368395560000000000,368395560000000000,2100461410,272523.21875,20.736005067825317,44,553,17,4412.765205442905,20.328489916350236,5503.679537834483,151720.0,0.0,0.0,41.59666442871094,4.220802307128906,0.0,16.06418800354004,0.336953341960907,74.84678333578915,4009.27685546875,0.6191100478172302,772.4412245086614,-15.066384315490723,-6.876022815704346,-21.81197166442871,2000000,1484139296048535630,none,170111_1216,6.4.2,0.11.1,False,91.65434812862263,False,True,True,True,True,True,True,True,True,True,True,True,0.7884320390169854,True,True,True,True,True,True,True,True,True,True,16.561268855499918,True,True,True
11032,6175,9962,1641.7816968607942,1585.719832805532,4217.108152779595,2724.4189620957486,2631.3883199740626,1299.8322176816873,2156.9783291933127,25.560768618774866,1.1084868602568094,-15.835680142045021,0.0035282563259973897,,,,,,,0.3166649639606476,2.3098809719085693,12.0,94.4830322265625,144.13899570152785,35.176538975688075,10.0,206.0,296.83056640625,1340.7699948891254,615.4219138925358,15.884033203125,25.11434555053711,2.344796895980835,-0.21718774735927582,146506060,146506060,146506060,-1037981230,-1037981230,-1038981200,146506060,368395560000000000,368395560000000000,368395560000000000,1920318820,581609.0625,146506060,146506060,146506060,6382828650,6395518510,6382828650,146506060,368395560000000000,368395560000000000,368395560000000000,1920318820,581609.0625,385824930,385824930,385824930,1037981230,1037981230,1038981200,385824930,368395560000000000,368395560000000000,368395560000000000,2675353410,1361289.25,32.36850094795227,49,422,9,3690.8542360961437,21.228683568828274,4366.200658956543,111670.0,0.0,0.0,36.58985137939453,2.157582998275757,0.0,15.884033203125,0.29616275429725647,85.10291127095022,3456.810546875,0.6239793300628662,735.220852326315,25.87713623046875,1.122206687927246,-16.052867889404297,2000000,1484084604591622610,none,170110_2112,6.4.2,0.11.1,True,62.23098118300302,True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,True,25.901458015730835,True,True,True
11099,6174,7583,3450.2798359283584,3058.804702684971,8645.836511685682,6302.077140251747,5587.031809000711,1930.2574797882698,3525.69418036798,9.101440518063194,-2.5396610180018357,-39.74112066626549,0.008563904109501079,,,,,,,0.3168359398841858,5.914940357208252,30.0,207.6811065673828,162.53694055853282,43.650322271454,24.0,212.0,384.5507507324219,2205.1272749957297,1038.2422264781685,47.79310607910156,8.459792137145996,-1.7428566217422485,-0.17984643578529358,-37187760,397109925,-66186745,5117873100,5137062130,5117873100,-37187760,368395560000000000,368395560000000000,368395560000000000,1139640350,996662.75,397109925,397109925,397109925,5117873100,5137062130,5117873100,397109925,368395560000000000,368395560000000000,368395560000000000,1139640350,996662.75,37187760,2020544565,66186745,5216915970,5216915970,5248230200,37187760,368395560000000000,368395560000000000,368395560000000000,7883099760,233330.5625,108.3160108923912,85,674,19,5994.109630227089,52.40549592217394,9752.356976180105,277680.0,0.0,0.0,69.32636260986328,3.285120725631714,0.0,47.79310607910156,0.2627296447753906,93.97269866046815,5455.95166015625,0.6462106704711914,1054.2400286410757,9.406618118286133,-2.6248176097869873,-39.92096710205078,2000000,1484080559991244260,none,170110_2012,6.4.2,0.11.1,True,66.46498768539811,True,True,True,True,True,True,True,True,True,True,True,True,0.49194461169332515,True,True,True,True,True,True,True,True,True,True,9.765968047660039,True,True,True
